Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ReqresAPI,,"Testing reqres API Method GET, POST and UPDATE",,2023-02-17 08:14:53,2023-02-17 08:14:59,5.680s,PASSED
,,,,,,,
Test Cases/01TC-GET List Users,,,,2023-02-17 08:14:53,2023-02-17 08:14:55,2.207s,PASSED
"sendRequest(findTestObject(""GET List Users""))",,,,2023-02-17 08:14:53,2023-02-17 08:14:55,1.449s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET List Users""))",,,,2023-02-17 08:14:55,2023-02-17 08:14:55,0.542s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-02-17 08:14:55,2023-02-17 08:14:55,0.000s,PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Janet"")",,,,2023-02-17 08:14:55,2023-02-17 08:14:55,0.010s,PASSED
,,,,,,,
Test Cases/02TC-GET Single User,,,,2023-02-17 08:14:55,2023-02-17 08:14:56,0.665s,PASSED
"sendRequest(findTestObject(""GET Single User""))",,,,2023-02-17 08:14:55,2023-02-17 08:14:56,0.168s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET Single User""))",,,,2023-02-17 08:14:56,2023-02-17 08:14:56,0.315s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-02-17 08:14:56,2023-02-17 08:14:56,0.000s,PASSED
"verifyElementPropertyValue(response, ""data.email"", ""janet.weaver@reqres.in"")",,,,2023-02-17 08:14:56,2023-02-17 08:14:56,0.015s,PASSED
,,,,,,,
Test Cases/03TC-POST Register Successfull,,,,2023-02-17 08:14:56,2023-02-17 08:14:57,1.350s,PASSED
"sendRequest(findTestObject(""POST Register Successful""))",,,,2023-02-17 08:14:56,2023-02-17 08:14:57,0.542s,PASSED
"response = sendRequestAndVerify(findTestObject(""POST Register Successful""))",,,,2023-02-17 08:14:57,2023-02-17 08:14:57,0.647s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-02-17 08:14:57,2023-02-17 08:14:57,0.016s,PASSED
"verifyElementPropertyValue(response, ""id"", ""2"")",,,,2023-02-17 08:14:57,2023-02-17 08:14:57,0.000s,PASSED
,,,,,,,
Test Cases/04TC-UPDATE User,,,,2023-02-17 08:14:57,2023-02-17 08:14:59,1.312s,PASSED
"sendRequest(findTestObject(""UPDATE User""))",,,,2023-02-17 08:14:57,2023-02-17 08:14:58,0.509s,PASSED
"response = sendRequestAndVerify(findTestObject(""UPDATE User""))",,,,2023-02-17 08:14:58,2023-02-17 08:14:59,0.657s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-02-17 08:14:59,2023-02-17 08:14:59,0.003s,PASSED
"verifyElementPropertyValue(response, ""name"", ""morpheus"")",,,,2023-02-17 08:14:59,2023-02-17 08:14:59,0.004s,PASSED
